Output Noise (V^2/Hz) (timeindex=6e-09) X,Output Noise (V^2/Hz) (timeindex=6e-09) Y
1,8.21338536466854e-17
1.437147107950021,8.213385364668402e-17
2.06539180988911,8.21338536466831e-17
2.968271866365795,8.213385364667946e-17
4.265843328357015,8.213385364667224e-17
6.130644402316177,8.213385364665874e-17
8.810637872658681,8.213385364663017e-17
12.66218273788635,8.213385364657029e-17
18.19741930208805,8.213385364644899e-17
26.15236852214974,8.213385364619558e-17
37.58480078765068,8.213385364567295e-17
54.01488775484986,8.213385364459515e-17
77.62733972312749,8.213385364236793e-17
111.5619067809465,8.213385363776867e-17
160.3308716876271,8.213385362826782e-17
230.4190485609793,8.213385360864343e-17
331.1460692560069,8.21338535681143e-17
475.9056157402877,8.213385348440569e-17
683.9463793183286,8.213385331151155e-17
982.9315610302242,8.213385295441987e-17
1412.617250247387,8.213385221688487e-17
2030.138795833343,8.213385069358622e-17
2917.608099169028,8.213384754738001e-17
4193.032041852327,8.213384104922944e-17
6026.003872489844,8.213382762800615e-17
8660.254037844408,8.213379990793855e-17
12446.05904460059,8.213374265520172e-17
17886.81776132294,8.213362440614766e-17
25705.98841611433,8.213338017670564e-17
36943.28690921547,8.213287575228463e-17
53092.93793974689,8.213183393982547e-17
76302.36221267721,8.212968228108895e-17
109657.719183704,8.212523865594939e-17
157594.2739892558,8.211606250593435e-17
226486.1550931423,8.20971173113289e-17
325493.9227828294,8.205801853685281e-17
467782.6497826509,8.197739400889628e-17
672272.4822843344,8.181142418225293e-17
966154.4536693131,8.147096513473951e-17
1388506.078923886,8.077757810559328e-17
1995487.495696487,7.93858759641985e-17
2867809.083390637,7.667265371253189e-17
4121463.530347656,7.16707330852767e-17
5923149.393160619,6.333298253065154e-17
8512437.020336708,5.151794799748046e-17
12233624.2453836,3.811013926452321e-17
17581517.7040003,2.620810004810867e-17
25267227.32167613,1.766134560062445e-17
36312722.67126261,1.231800003206571e-17
52186724.36879623,9.272465417866905e-18
75000000,8.121936546412929e-18
