v /vodm; pac dB20(V) (harmonic=0) X,v /vodm; pac dB20(V) (harmonic=0) Y
1,-4.400819009401086
1.737800828749376,-4.400819009401192
3.019951720402017,-4.40081900940142
5.248074602497727,-4.400819009402138
9.1201083935591,-4.400819009404398
15.84893192461114,-4.400819009411332
27.54228703338168,-4.400819009432644
47.86300923226386,-4.400819009497644
83.17637711026714,-4.400819009694535
144.5439770745928,-4.400819010290602
251.1886431509581,-4.400819012093137
436.5158322401662,-4.400819017540873
758.5775750291842,-4.40081903400026
1318.256738556408,-4.400819083719711
2290.867652767775,-4.400819234040584
3981.071705534976,-4.400819687893918
6918.309709189371,-4.400821058548198
12022.64434617414,-4.400825197992678
20892.96130854042,-4.400837699169721
36307.80547701018,-4.400875435952021
63095.73444801941,-4.400989412723443
109647.8196143187,-4.401333599730767
190546.071796325,-4.402372870031917
331131.1214825916,-4.405509975859887
575439.9373371578,-4.414970775520604
1000000.000000002,-4.443423114580459
1737800.828749378,-4.528283925846324
3019951.720402021,-4.775368154939041
5248074.602497734,-5.449535596736734
9120108.393559111,-7.037060201668549
15848931.92461116,-9.978599585283964
27542287.03338171,-14.25658409589379
47863009.23226392,-19.60440744709308
83176377.11026727,-25.27440733566705
144543977.074593,-35.49773050705867
251188643.1509585,-39.268320772205
436515832.2401669,-51.55316874216357
758577575.0291854,-68.01654171681787
1318256738.55641,-78.66541631514703
2290867652.767778,-91.73438879924805
3981071705.534982,-101.3959496308777
6918309709.189383,-95.75503288277457
